AttributeDescription,AttributeId,CalendarYear,CommodityCode,CommodityDescription,CountryCode,CountryName,MarketYear,Month,UnitDescription,UnitId,Value
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(1000 HEAD)         ,5,0.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(1000 MT CWE)       ,7,132.0
Total Imports,57,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(1000 MT CWE)       ,7,40.0
Total Supply,86,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(1000 MT CWE)       ,7,172.0
Total Exports,88,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(1000 MT CWE)       ,7,0.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(1000 MT CWE)       ,7,172.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(1000 MT CWE)       ,7,172.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(1000 MT CWE)       ,7,172.0
Balance,198,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(1000 MT CWE)       ,7,0.0
Production Change,204,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(PERCENT)           ,23,6.0
Import Change,201,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(PERCENT)           ,23,-27.0
Export Change,202,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(PERCENT)           ,23,0.0
Consumption Change,203,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(PERCENT)           ,23,-4.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(PERCENT)           ,23,23.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(PERCENT)           ,23,0.0
Population,211,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(PEOPLE)            ,41,31427266.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",AO,Angola                        ,2019,10,(KG)                ,14,5.5
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(1000 HEAD)         ,5,7100.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(1000 MT CWE)       ,7,655.0
Total Imports,57,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(1000 MT CWE)       ,7,48.0
Total Supply,86,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(1000 MT CWE)       ,7,703.0
