date,lysine_price,corn_price,rm_price,fishmeal_price,wheat_price,piglet_price,sow_price,pork_price,sbm_price,cm_price
2012-02-09,17.5,2340,1938.571429,7990,2127,32.49,1783,26.5,3085,1826.666667
2012-02-10,17.5,2338,1938.571429,7990,2127,33.81,1811,26.32,3077.5,1826.666667
2012-02-14,17.5,2337,1938.571429,7990,2127,34.44,1802,26.74,3115,1826.666667
2012-02-15,17.5,2337,1938.571429,7990,2127,34.23,1816,26.07,3118.75,1826.666667
2012-02-16,17.5,2337,1945.714286,7990,2127,35.11,1817,26.32,3110,1826.666667
2012-02-17,17.5,2340,1945.714286,7990,2127,36.86,1777,25.98,3110,1826.666667
2012-02-21,17.35,2349,1967.142857,7990,2127,35.56,1752,25.98,3138.75,1836.666667
2012-02-22,17.35,2349,1967.142857,7990,2127,35.81,1757,26.07,3140,1836.666667
2012-02-23,17.35,2350,1967.142857,7990,2127,36.62,1777,25.72,3142.5,1836.666667
2012-02-24,17.35,2352,1967.142857,7990,2127,37.05,1786,25.83,3145,1836.666667
2012-02-28,17.35,2357,1967.142857,7990,2127,35.01,1766,25.06,3173.75,1836.666667
2012-02-29,17.35,2364,1967.142857,7990,2127,37.41,1743,25.25,3177.5,1836.666667
2012-03-06,17.15,2372,1967.142857,7990,2127,36.59,1762,25.03,3187.5,1843.333333
2012-03-07,17.15,2372,1970,7990,2127,35.2,1757,25.14,3206.25,1843.333333
2012-03-08,17.15,2371,1970,7990,2127,35.71,1725,25.94,3206.25,1843.333333
2012-03-09,17,2371,1970,7990,2127,35.97,1740,24.3,3225,1843.333333
2012-03-13,17,2381,1980,8040,2127,34.64,1733,24.83,3220,1876.666667
2012-03-14,16.8,2381,1980,8040,2127,33.48,1730,24.74,3238.75,1876.666667
2012-03-15,16.8,2386,1980,8040,2127,33.72,1748,24.77,3247.5,1876.666667
2012-03-16,16.8,2385.5,1980,8040,2127,32.6,1721,24.43,3271.25,1876.666667
2012-03-20,16.6,2395,1991.428571,8040,2130,33.18,1723,24.17,3248.75,1933.333333
2012-03-21,16.6,2396,1991.428571,8040,2130,33.85,1726,23.93,3232.5,1933.333333
2012-03-22,16.3,2398,1991.428571,8040,2130,32.84,1727,24.12,3237.5,1933.333333
2012-03-23,16.3,2401,1991.428571,8040,2130,33.1,1715,24.13,3250,1933.333333
2012-03-27,16.1,2403,2008.571429,8040,2141,32.88,1704,23.72,3305,1950
2012-03-28,16.1,2405,2030,8040,2141,32.53,1683,23.58,3324.375,1950
