DAY,LYSINE_PRICE,METHIONINE_PRICE,THREONINE_PRICE,TRYPTOPHAN_PRICE,CM_PRICE,RM_PRICE,FISHMEAL_PRICE,PIGLET_PRICE,SOW_PRICE,PORK_PRICE,WHEAT_PRICE,CORN_PRICE,SOYBEAN_PRICE,EXCHANGE,WTI_PRICE,PPI,CPI,EXPORT_QTY,EXPORT_PRICE
2008-09,13.33,58.71,19.17,260.0,,,,,,,264.1,215.4,438.2,,,,,,
2008-10,12.87,58.74,19.0,254.47,,,,,,,205.11,158.89,332.79,,,,,,
2008-11,11.32,52.84,18.65,242.63,,,,,,,195.95,146.42,329.21,,,,,,
2008-12,10.23,49.2,17.13,214.55,,,,,,,197.45,143.32,319.36,,,,,,
2009-01,10.56,47.59,16.53,210.0,,,,,,,215.58,153.25,365.83,,,,,6435.8,1197.338948
2009-02,10.52,46.52,16.0,210.0,,,,,,,194.4,142.0,338.93,,,,,8232.55,1195.773606
2009-03,10.58,41.94,15.5,194.76,,,,,,,190.86,147.43,332.05,,,,,7679.0,1119.922646
2009-04,10.9,35.56,15.33,180.0,,,,,,,192.42,151.42,373.47,,,,,6614.9,1071.813258
2009-05,10.58,34.56,15.24,180.0,,,,,,,209.82,161.91,418.18,,,,,10218.095,1073.481603
2009-06,10.34,36.97,14.7,168.5,,,,,,,211.95,161.35,444.25,,,,,9679.275,1055.220665
2009-07,10.39,37.9,14.1,168.7,,,,,,,188.55,130.18,397.59,,,,,8506.5975,1031.135657
2009-08,10.45,37.19,14.12,180.0,,,,,,,178.24,128.19,405.05,,,,,10577.1,1042.257708
2009-09,10.7,38.82,14.21,184.09,,,,,,,165.35,126.1,348.9,,,,,12577.625,1105.771082
2009-10,10.74,50.17,15.61,187.35,,,,,,,187.56,149.25,362.44,,,,,12334.05,1120.829087
2009-11,11.98,52.35,18.16,205.0,,,,,,,197.8,153.05,370.2,,,,,14080.89,1238.960534
2009-12,15.34,49.62,18.94,204.29,,,,,,,195.75,155.7,378.75,,,,,16225.515,1335.8641
2010-01,13.69,48.27,18.11,200.0,,,,,,,191.26,151.37,358.42,1138.82,,104.3,101.5,14450.1425,1383.130374
2010-02,12.29,46.59,17.44,203.57,,,,,,,178.46,142.54,342.15,1159.35,74.77,105.4,102.7,12541.355,1432.771897
2010-03,11.9,43.23,16.28,210.0,,,,,,,175.61,142.52,348.35,1137.64,81.25,105.9,102.4,24165.2625,1513.901908
2010-04,11.77,37.61,15.0,204.29,,,,,,,175.05,138.95,357.75,1116.77,84.35,106.8,102.8,16374.71,1587.810593
2010-05,12.86,39.71,14.83,196.0,,,,,,,174.42,143.05,347.95,1166.14,73.0,107.1,103.1,20226.9,1562.386525
2010-06,12.68,40.35,14.87,189.52,,,,,,,164.26,135.53,347.74,1209.4,75.02,106.4,102.9,19669.46,1514.614585
